Influencer_I,Social_Media_I,Radio_I,Influencer_S,Social_Media_S,Radio_S,revenue,beef,chicken,cag_V,DATE
11405123,5945479,0,90003.23,30000,0,14201964.62,3.841,2.93,19293100,2019-10-06
11405123,5945479,0,90003.23,30000,0,15703190.71,3.841,2.93,22626100,2019-10-13
54811539,5945479,0,339515.58,30000,0,16903252.55,3.841,2.93,20746000,2019-10-20
59584985,7056590,0,370265.58,35000,0,17041206.68,3.841,2.93,15231200,2019-10-27
505839713,7056590,0,3872465.58,35000,0,44838814.19,3.812,2.948,13415000,2019-11-03
571056542,7056590,0,4517212.35,35000,0,34654156.8,3.812,2.948,17354300,2019-11-10
577619165,1111111,0,4572212.35,5000,0,36825456.94,3.812,2.948,22107100,2019-11-17
587035706,0,0,4622212.35,0,0,39523546.72,3.812,2.948,8728700,2019-11-24
587035706,0,0,4622212.35,0,0,58638124.42,3.812,2.94,21217700,2019-12-01
593914691,0,0,4655412.35,0,0,34595451,3.862,2.94,16441400,2019-12-08
593914691,1697570,0,4655412.35,15000,0,38934322.21,3.862,2.94,58461200,2019-12-15
592261088,1697570,0,4645412.35,15000,0,45290872.74,3.862,2.94,17236600,2019-12-22
579858607,0,0,4571012.35,0,0,64776493.72,3.862,2.94,11725000,2019-12-29
765971312,0,0,5040559.92,0,0,64894467.84,3.886,3.113,28408700,2020-01-05
334391815,1402444,0,1031847.57,12500,0,24732351.93,3.886,3.113,24107800,2020-01-12
359787836,1402444,0,1216447.57,12500,0,26557621.63,3.886,3.113,16916000,2020-01-19
361867680,1402444,0,1238447.57,12500,0,26292907.18,3.886,3.113,19615700,2020-01-26
361867680,1402444,0,1238447.57,12500,0,28287255.18,3.865,3.059,18737900,2020-02-02
366640989,1504626,0,1235977.57,15000,0,32890363.52,3.865,3.059,15358600,2020-02-09
60376324,1504626,0,381000,15000,0,5841619.91,3.865,3.059,22454100,2020-02-16
56464034,1504626,0,341000,15000,0,5115095.26,3.865,3.059,35475200,2020-02-23
51492975,5432354,0,275638.66,40000,0,3178917.26,3.865,3.013,27012200,2020-03-01
37834990,3927728,0,375735.12,25000,0,36760762.07,3.881,3.013,36133800,2020-03-08
21294848,3927728,0,315735.12,25000,0,44275947.01,3.881,3.013,45448500,2020-03-15
10595182,3927728,0,246335.12,25000,0,52300359.72,3.881,3.013,30345200,2020-03-22
5860503,3927728,0,206000,25000,0,31399641.03,3.881,3.013,34207900,2020-03-29
5860503,1727728,0,206000,15000,0,32570266.98,4.052,2.956,22032500,2020-04-05
3848503,0,0,35000,0,0,928.58,4.052,2.956,18157400,2020-04-12
3848503,0,0,35000,0,0,1324.52,4.052,2.956,16342800,2020-04-19
3848503,0,0,35000,0,0,1688.79,4.052,2.956,17046800,2020-04-26
57773903,0,0,472500,0,0,14732596.16,4.461,3.158,11491800,2020-05-03
57773903,0,0,472500,0,0,15541169.5,4.461,3.158,11894800,2020-05-10
57773903,0,0,472500,0,0,16024383.67,4.461,3.158,18681900,2020-05-17
57773903,0,625044000,472500,0,14593572,298070926.3,4.461,3.158,15193500,2020-05-24
384498887,0,625044000,2992500,0,14593572,308051668.1,4.461,3.158,17073900,2020-05-31
384498887,4964080,625044000,2992500,5000,14593572,314923043.7,4.737,3.348,16156500,2020-06-07
384498887,7186302,625044000,2992500,25000,14593572,327659351.5,4.737,3.348,20786400,2020-06-14
394982306,7186302,627726000,3045294.65,25000,14638572,323526762.1,4.737,3.348,21536600,2020-06-21
341056906,7186302,627726000,2607794.65,25000,14638572,276481175.9,4.737,3.348,22146800,2020-06-28
1230103004,16753956,627726000,10339724.99,97500,14638572,430608370.9,4.264,3.349,14026500,2020-07-05
1682764650,17792739,627726000,13694724.99,102500,14638572,434401710.2,4.264,3.349,14083900,2020-07-12
1683022636,19192739,631218000,13697724.99,117500,14697234,432281508.5,4.264,3.349,12482100,2020-07-19
2388251654,57721910,631218000,18195430.34,432500,14697234,658511352.4,4.264,3.349,11527500,2020-07-26
2489286119,105496756,3492000,18875430.34,795000,58662,409350240.6,4.177,3.221,10782500,2020-08-02
2488683293,106680628,0,18863500,805000,0,446638042.6,4.177,3.221,7723500,2020-08-09
2489140796,108100628,0,18868500,817500,0,439431871.1,4.177,3.221,14835900,2020-08-16
2488882810,106700628,0,18865500,802500,0,438484282.8,4.177,3.221,12406700,2020-08-23
2488882810,57428003,0,18865500,427500,0,426700660.6,4.177,3.221,13442900,2020-08-30
2684824518,57428003,0,20386569.66,427500,0,467858576.1,4.076,3.276,14103000,2020-09-06
2676921099,12171544,0,20344069.66,102500,0,454795389.4,4.076,3.276,15411500,2020-09-13
2677343099,17732170,0,20349069.66,157000,0,476726733.8,4.076,3.276,16165900,2020-09-20
2677343099,17732170,0,20349069.66,157000,0,463851577.8,4.076,3.276,20120500,2020-09-27
2801695847,24232170,0,21049399.2,204000,0,521614117.1,4.008,3.276,11396400,2020-10-04
1640412090,13480626,0,13176399.2,114000,0,229153894.2,4.008,3.302,10078600,2020-10-11
425243834,12288889,0,2936399.2,99000,0,107775008.9,4.008,3.302,12974000,2020-10-18
137068383,12288889,0,773399.2,99000,0,79028066.41,4.008,3.302,13517200,2020-10-25
137068383,12288889,0,773399.2,99000,0,80045288.67,4.008,3.29,10043800,2020-11-01
5502800,3900000,0,70000,35000,0,3940610.98,4.027,3.29,15026000,2020-11-08
25771171,3900000,0,160000,35000,0,4121432.76,4.027,3.29,13679800,2020-11-15
25771171,0,0,160000,0,0,101570.51,4.027,3.29,9490800,2020-11-22
25771171,128319264,0,160000,1053000,0,8557029.85,4.027,3.29,20581600,2020-11-29
29776293,128319264,0,194000,1053000,0,7991773.83,3.951,3.412,14277200,2020-12-06
28121996,128319264,0,159000,1053000,0,9361922.85,3.951,3.412,16789500,2020-12-13
28121996,128319264,0,159000,1053000,0,9594209.12,3.951,3.412,8374300,2020-12-20
28121996,128319264,0,159000,1053000,0,9373672.97,3.951,3.412,7934000,2020-12-27
785164498,173379264,0,4382765.2,1413000,0,108552561.5,3.965,3.293,28859500,2021-01-03
781315995,184545264,0,4347765.2,1360000,0,126812036.4,3.965,3.293,27157800,2021-01-10
794761139,210043065,0,4484565.2,1495000,0,161617871.4,3.965,3.293,16626900,2021-01-17
790756017,149457801,0,4450565.2,1045000,0,138491001.1,3.965,3.293,22332000,2021-01-24
794724907,149457801,0,4485565.2,1045000,0,129906901.8,3.965,3.293,18244800,2021-01-31
