DATE,banner_I,blog_I,coupon_I,email_I,social_I,text_I,website_I,ecom_I,display_I,event_I,other_I,post_I,sweepstakes_I,mail_I,radio_I,circular_I,retailer_I,banner_S,blog_S,coupon_S,email_S,social_S,text_S,website_S,ecom_S,display_S,event_S,other_S,post_S,sweepstakes_S,mail_S,radio_S,circular_S,retailer_S,revenue
10/5/2019,62836886,11405123,183809663,0,5945479,0,146664,0,12600000,0,0,960311131,42300000,0,0,1202640,129381124,247331.83,90003.23,447628.45,0,30000,0,45000,0,0,0,0,108489.42,513000,0,0,26955.29,277200,89774827.92
10/12/2019,120592917,11405123,183809663,0,5945479,0,146664,0,12600000,0,3113296,1499677155,42300000,0,0,1202640,134474110,442966.83,90003.23,447628.45,0,30000,0,45000,0,0,0,379997.6,657371.26,513000,0,0,26955.29,757298.59,111919125.1
10/19/2019,181801495,54811539,205679120,0,14945163,0,146664,0,12600000,2400000,3113296,1652077155,42300000,0,0,1202640,134474110,648786.4,339515.58,558250.87,0,82633.08,0,45000,0,0,82116.48,379997.6,664560.05,513000,0,0,26955.29,757298.59,110607594.5
10/26/2019,206085547,59584985,214955960,456667,17167385,0,146664,0,12600000,2434200,4413296,1658077155,42300000,0,0,1202640,134555822,721169.03,370265.58,553719.14,14500,94919.86,0,45000,0,0,120441.82,415348.35,705420.97,513000,0,0,26955.29,765393.59,108674181.9
11/2/2019,886963849,505839713,833886179,16856395,17167385,0,146664,0,12600000,5834200,4413296,3142603166,42300000,168000000,0,35202640,180113316,4247910.47,3872465.58,3023477.68,894500,94919.86,0,45000,0,0,206420.41,415348.35,2683025.76,513000,1720000,0,26955.29,2587006.6,359516408.6
11/9/2019,847858815,571056542,650226824,29656395,8167701,0,0,0,0,119038600,1300000,1707103166,0,168000000,0,35000000,46708892,4199107.15,4517212.35,2595977.68,894500,42286.78,0,0,0,0,630701.46,35350.75,2295084.81,0,1720000,0,8000,1902854.6,290501832.3
11/16/2019,835814129,577619165,651147309,29656395,2222222,0,0,0,62440000,120438600,1300000,1671663888,0,168000000,0,34000000,45705142,4172618.89,4572212.35,2604232.76,894500,12286.78,0,0,0,1263.9,687384.61,35350.75,2246199.05,0,1720000,0,0,1835138.73,307294453.8
11/23/2019,971915574,587035706,643986779,30755062,41556248,0,0,0,62440000,120428400,1300000,2194606982,0,168000000,0,34000000,125639206,4479393.49,4622212.35,2604409.71,924500.14,197149.6,0,0,0,1263.9,682281.2,35350.75,2793359.79,0,1720000,0,0,2629708.01,350852271.1
11/30/2019,971915574,587035706,643986779,30755062,41556248,0,0,0,62440000,120428400,1300000,2194606982,0,168000000,0,34000000,125639206,4479393.49,4622212.35,2604409.71,924500.14,197149.6,0,0,0,1263.9,682281.2,35350.75,2793359.79,0,1720000,0,0,2629708.01,484910484
12/7/2019,971915574,593914691,643986779,30755062,41556248,0,0,0,62440000,120428400,1300000,2208000941,0,168000000,0,34000000,125996218,4479393.49,4655412.35,2604409.71,924500.14,197149.6,0,0,0,1263.9,682281.2,35350.75,2844502.33,0,1720000,0,0,2650557.96,293759476.5
12/14/2019,971044426,593914691,653057268,30755062,45476040,0,0,0,62440000,120452424,0,2202000941,0,168000000,0,34000000,133294218,4477685.34,4655412.35,2611006.76,924500.14,219862.82,0,0,0,1263.9,718002.08,0,2803641.41,0,1720000,0,0,2695509.46,329400435.9
12/21/2019,973227720,592261088,653895333,30755062,45476040,0,0,0,62440000,119284424,0,2202000941,0,168000000,0,34000000,133294218,4485732.66,4645412.35,2629919.44,924500.14,219862.82,0,0,0,1263.9,653545.34,0,2803641.41,0,1720000,0,0,2695509.46,396109460.2
12/28/2019,941263568,579858607,653895333,30298395,43778470,0,0,0,62440000,116850224,0,2136750941,0,168000000,0,34000000,125914506,4385583.76,4571012.35,2629919.44,910000.14,204862.82,0,0,0,1263.9,533103.52,0,2801452.62,0,1720000,0,0,2642462.96,542231939.3
1/4/2020,1250778317,765971312,644167614,37048395,41556248,0,0,0,71440000,131226200,250816284,3720572533,0,235500000,0,44000000,316733464,5837291.91,5040559.92,2622692.39,1315000.14,197149.6,0,0,0,1263.9,2125580.83,315000,3340568.67,0,2485000,0,15000,3264628.59,587748545.4
1/11/2020,559131085,334391815,40183052,9919802,1402444,0,0,0,71440000,20475454,250960380,2521804380,0,67500000,0,10000000,675897835,2234990.32,1031847.57,264283.65,484599.92,12500,0,0,0,1263.9,1924745.6,428998.6,754746.59,0,765000,0,15000,2392538.25,228689679.9
1/18/2020,608249983,359787836,46198455,9919802,1402444,0,0,0,71440000,22475454,250960380,2583496392,0,67500000,0,10000000,805991925,2474637.37,1216447.57,292725.29,484599.92,12500,0,0,0,1263.9,1991719.98,428998.6,808789.05,0,765000,0,15000,3809849.36,236255040.4
1/25/2020,595459100,361867680,45360390,9919802,1402444,0,0,0,71440000,22475454,250960380,2583496392,0,67500000,0,10000000,833850189,2433340.05,1238447.57,273812.61,484599.92,12500,0,0,0,1263.9,1991719.98,428998.6,808789.05,0,765000,0,15000,4026337.36,227015404.3
2/1/2020,609431652,361867680,45857389,10157135,1402444,0,0,0,71440000,22506254,250960380,2610918620,0,67500000,0,10000000,840310658,2507299.09,1238447.57,300026.68,494599.92,12500,0,0,0,1263.9,2017054.66,428998.6,897935.8,0,765000,0,15000,4119132.88,236663669.6
2/8/2020,603950722,366640989,47179643,8067960,1504626,0,0,0,265000000,21122959,252116284,1.23E+12,0,67500000,9706666496,266000000,38039655486,2471953.69,1235977.57,292984.39,439999.93,15000,0,0,0,0,1976744.88,340000,872946.97,0,765000,0,15000,3930496.61,1559306280
2/15/2020,194548843,60376324,87179643,8376776,1504626,0,0,0,265000000,6722959,1300000,1.22E+12,0,0,9706666496,257000000,37733530026,790771.45,381000,604152.55,194999.93,15000,0,0,0,0,348546.69,25000,670705.48,0,0,0,15000,2554067.82,1270023037
