"","ds","dep_var","trend","season","holiday","cag_V","Influencer_S","Social_Media_S","Radio_S","beef","chicken","intercept","depVarHat","solID"
"1","2019-10-20",16903252.55,2301806.36182547,-1520717.73036337,0,-1463056.87191991,295.317850900217,32.8011449109229,0,17058347.1913718,15127477.8049184,101759538.339418,31504184.8748283,"1_91_16"
"2","2019-10-27",17041206.68,2313287.44512457,-1718611.23351639,0,-1074140.16328866,407.351867379759,47.1124339324067,0,17061644.4638614,15128556.5613156,101759538.339418,31711191.5377978,"1_91_16"
"3","2019-11-03",44838814.19,2324768.53115418,-1578544.44761468,0,-946057.453813054,159516.410618797,48.371713646959,0,16911035.8234499,15242686.7228067,101759538.339418,32113453.9583155,"1_91_16"
"4","2019-11-10",34654156.8,2336249.61718379,-1611639.56820184,-540017.998692274,-1223866.18492045,263851.07793592,48.4715567941637,0,16902742.1098238,15247093.1524626,101759538.339418,31374460.6771483,"1_91_16"
"5","2019-11-17",36825456.94,2347730.6976055,-1875892.50983286,0,-1559044.85554905,278864.782565289,0.942377363983468,0,16902286.644304,15247263.6621833,101759538.339418,31341209.3636536,"1_91_16"
"6","2019-11-24",39523546.72,2359211.7780272,-2100605.89735522,40908.7216224769,-615568.520096758,287102.26889318,0.00152522848344724,0,16902261.6352737,15247270.2607467,101759538.339418,32120580.2486365,"1_91_16"
"7","2019-12-01",58638124.42,2370692.85844891,-2108352.82447117,0,-1496322.26893546,287589.516452125,2.46856087620006e-06,0,16902260.2620711,15196636.9509648,101759538.339418,31152504.4945327,"1_91_16"
"8","2019-12-08",34595451,2382173.93807745,-1988028.11283135,0,-1159486.32285665,292559.026517994,3.9953310864907e-09,0,17161803.1099718,15194675.4462456,101759538.339418,31883697.0851248,"1_91_16"
"9","2019-12-15",38934322.21,2393655.01770599,-1888676.02600052,0,-4122821.76808466,292851.906096866,4.63444703193905,0,17175981.8620487,15194599.5345725,101759538.339418,29045595.1607859,"1_91_16"
"10","2019-12-22",45290872.74,2405136.09733453,-1795987.84155579,-225427.646412575,-1215565.70319747,291374.851066032,5.61069998003405,0,17176760.1731682,15194596.5968483,101759538.339418,31830892.1379512,"1_91_16"
