"","ds","Influencer_S","Social_Media_S","Radio_S","beef","chicken","type","solID"
"1","2019-10-06",90003.23,30000,0,3.841,2.93,"rawMedia","1_91_16"
"2","2019-10-13",90003.23,30000,0,3.841,2.93,"rawMedia","1_91_16"
"3","2019-10-20",339515.58,30000,0,3.841,2.93,"rawMedia","1_91_16"
"4","2019-10-27",370265.58,35000,0,3.841,2.93,"rawMedia","1_91_16"
"5","2019-11-03",3872465.58,35000,0,3.812,2.948,"rawMedia","1_91_16"
"6","2019-11-10",4517212.35,35000,0,3.812,2.948,"rawMedia","1_91_16"
"7","2019-11-17",4572212.35,5000,0,3.812,2.948,"rawMedia","1_91_16"
"8","2019-11-24",4622212.35,0,0,3.812,2.948,"rawMedia","1_91_16"
"9","2019-12-01",4622212.35,0,0,3.812,2.94,"rawMedia","1_91_16"
"10","2019-12-08",4655412.35,0,0,3.862,2.94,"rawMedia","1_91_16"
"11","2019-12-15",4655412.35,15000,0,3.862,2.94,"rawMedia","1_91_16"
"12","2019-12-22",4645412.35,15000,0,3.862,2.94,"rawMedia","1_91_16"
"13","2019-12-29",4571012.35,0,0,3.862,2.94,"rawMedia","1_91_16"
"14","2020-01-05",5040559.92,0,0,3.886,3.113,"rawMedia","1_91_16"
"15","2020-01-12",1031847.57,12500,0,3.886,3.113,"rawMedia","1_91_16"
"16","2020-01-19",1216447.57,12500,0,3.886,3.113,"rawMedia","1_91_16"
"17","2020-01-26",1238447.57,12500,0,3.886,3.113,"rawMedia","1_91_16"
"18","2020-02-02",1238447.57,12500,0,3.865,3.059,"rawMedia","1_91_16"
"19","2020-02-09",1235977.57,15000,0,3.865,3.059,"rawMedia","1_91_16"
"20","2020-02-16",381000,15000,0,3.865,3.059,"rawMedia","1_91_16"
"21","2020-02-23",341000,15000,0,3.865,3.059,"rawMedia","1_91_16"
"22","2020-03-01",275638.66,40000,0,3.865,3.013,"rawMedia","1_91_16"
"23","2020-03-08",375735.12,25000,0,3.881,3.013,"rawMedia","1_91_16"
"24","2020-03-15",315735.12,25000,0,3.881,3.013,"rawMedia","1_91_16"
"25","2020-03-22",246335.12,25000,0,3.881,3.013,"rawMedia","1_91_16"
"26","2020-03-29",206000,25000,0,3.881,3.013,"rawMedia","1_91_16"
"27","2020-04-05",206000,15000,0,4.052,2.956,"rawMedia","1_91_16"
"28","2020-04-12",35000,0,0,4.052,2.956,"rawMedia","1_91_16"
"29","2020-04-19",35000,0,0,4.052,2.956,"rawMedia","1_91_16"
"30","2020-04-26",35000,0,0,4.052,2.956,"rawMedia","1_91_16"
"31","2020-05-03",472500,0,0,4.461,3.158,"rawMedia","1_91_16"
"32","2020-05-10",472500,0,0,4.461,3.158,"rawMedia","1_91_16"
"33","2020-05-17",472500,0,0,4.461,3.158,"rawMedia","1_91_16"
"34","2020-05-24",472500,0,14593572,4.461,3.158,"rawMedia","1_91_16"
"35","2020-05-31",2992500,0,14593572,4.461,3.158,"rawMedia","1_91_16"
"36","2020-06-07",2992500,5000,14593572,4.737,3.348,"rawMedia","1_91_16"
"37","2020-06-14",2992500,25000,14593572,4.737,3.348,"rawMedia","1_91_16"
"38","2020-06-21",3045294.65,25000,14638572,4.737,3.348,"rawMedia","1_91_16"
"39","2020-06-28",2607794.65,25000,14638572,4.737,3.348,"rawMedia","1_91_16"
"40","2020-07-05",10339724.99,97500,14638572,4.264,3.349,"rawMedia","1_91_16"
"41","2020-07-12",13694724.99,102500,14638572,4.264,3.349,"rawMedia","1_91_16"
"42","2020-07-19",13697724.99,117500,14697234,4.264,3.349,"rawMedia","1_91_16"
"43","2020-07-26",18195430.34,432500,14697234,4.264,3.349,"rawMedia","1_91_16"
"44","2020-08-02",18875430.34,795000,58662,4.177,3.221,"rawMedia","1_91_16"
"45","2020-08-09",18863500,805000,0,4.177,3.221,"rawMedia","1_91_16"
"46","2020-08-16",18868500,817500,0,4.177,3.221,"rawMedia","1_91_16"
"47","2020-08-23",18865500,802500,0,4.177,3.221,"rawMedia","1_91_16"
"48","2020-08-30",18865500,427500,0,4.177,3.221,"rawMedia","1_91_16"
"49","2020-09-06",20386569.66,427500,0,4.076,3.276,"rawMedia","1_91_16"
"50","2020-09-13",20344069.66,102500,0,4.076,3.276,"rawMedia","1_91_16"
"51","2020-09-20",20349069.66,157000,0,4.076,3.276,"rawMedia","1_91_16"
"52","2020-09-27",20349069.66,157000,0,4.076,3.276,"rawMedia","1_91_16"
"53","2020-10-04",21049399.2,204000,0,4.008,3.276,"rawMedia","1_91_16"
"54","2020-10-11",13176399.2,114000,0,4.008,3.302,"rawMedia","1_91_16"
"55","2020-10-18",2936399.2,99000,0,4.008,3.302,"rawMedia","1_91_16"
"56","2020-10-25",773399.2,99000,0,4.008,3.302,"rawMedia","1_91_16"
"57","2020-11-01",773399.2,99000,0,4.008,3.29,"rawMedia","1_91_16"
"58","2020-11-08",70000,35000,0,4.027,3.29,"rawMedia","1_91_16"
"59","2020-11-15",160000,35000,0,4.027,3.29,"rawMedia","1_91_16"
"60","2020-11-22",160000,0,0,4.027,3.29,"rawMedia","1_91_16"
"61","2020-11-29",160000,1053000,0,4.027,3.29,"rawMedia","1_91_16"
"62","2020-12-06",194000,1053000,0,3.951,3.412,"rawMedia","1_91_16"
"63","2020-12-13",159000,1053000,0,3.951,3.412,"rawMedia","1_91_16"
"64","2020-12-20",159000,1053000,0,3.951,3.412,"rawMedia","1_91_16"
"65","2020-12-27",159000,1053000,0,3.951,3.412,"rawMedia","1_91_16"
"66","2021-01-03",4382765.2,1413000,0,3.965,3.293,"rawMedia","1_91_16"
"67","2021-01-10",4347765.2,1360000,0,3.965,3.293,"rawMedia","1_91_16"
