"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","rsq_train","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","iterPar","iterNG","df.int","trial","iterations","solID","robynPareto","total_spend","mean_spend","spend_share","effect_share","roi_mean","roi_total","cpa_total","mean_response","next_unit_response"
"1","(Intercept)",109789974.949989,9112567920.84907,0.828341092193258,109789974.949989,0.828505921657525,9112567920.84907,0.828341092193258,109789974.949989,0.828505921657525,TRUE,-0.0431849048028026,0.252874435177123,0.00423305728103939,140.637621728557,12602058141.348,0.784858327555337,16056034913.1787,1e-04,12,122,1,2,1948,"2_122_12",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","trend",0.00884066537981078,132070247.962572,0.0120053111695608,1591207.80677797,0.0120077000755647,132070247.962572,0.0120053111695608,1591207.80677797,0.0120077000755647,TRUE,-0.0431849048028026,0.252874435177123,0.00423305728103939,140.637621728557,12602058141.348,0.784858327555337,16056034913.1787,1e-04,12,122,1,2,1948,"2_122_12",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","season",0.0134254021837636,-56204646.9936477,-0.00510905587551623,-677164.421610214,-0.0051100725134095,-56204646.9936477,-0.00510905587551623,-677164.421610214,-0.0051100725134095,FALSE,-0.0431849048028026,0.252874435177123,0.00423305728103939,140.637621728557,12602058141.348,0.784858327555337,16056034913.1787,1e-04,12,122,1,2,1948,"2_122_12",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","holiday",0.0173850015807119,-563736.024058683,-5.12441408320328e-05,-33160.9425916872,-0.000250241766768532,-563736.024058683,-5.12441408320328e-05,-33160.9425916872,-0.000250241766768532,FALSE,-0.0431849048028026,0.252874435177123,0.00423305728103939,140.637621728557,12602058141.348,0.784858327555337,16056034913.1787,1e-04,12,122,1,2,1948,"2_122_12",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","cag_V",257387.458441846,744369675.246501,0.0676639115499482,8968309.34031929,0.0676773758177434,744369675.246501,0.0676639115499482,8968309.34031929,0.0676773758177434,TRUE,-0.0431849048028026,0.252874435177123,0.00423305728103939,140.637621728557,12602058141.348,0.784858327555337,16056034913.1787,1e-04,12,122,1,2,1948,"2_122_12",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Influencer_S",6727846.67429705,79976123.8455176,0.00726990573359771,963567.757174911,0.00727135235344869,79976123.8455176,0.00726990573359771,963567.757174911,0.00727135235344869,TRUE,-0.0431849048028026,0.252874435177123,0.00423305728103939,140.637621728557,12602058141.348,0.784858327555337,16056034913.1787,1e-04,12,122,1,2,1948,"2_122_12",1,380410712.15,4583261.59216867,0.630155088852325,0.6267619663578,0.00920016096222608,0.210236255949549,4.75655350445345,42166.7443799404,0.0272885146696353
"7","Social_Media_S",549474.16542998,5848694.41852861,0.000531651886123575,70466.1978135977,0.000531757678165516,5848694.41852861,0.000531651886123575,70466.1978135977,0.000531757678165516,TRUE,-0.0431849048028026,0.252874435177123,0.00423305728103939,140.637621728557,12602058141.348,0.784858327555337,16056034913.1787,1e-04,12,122,1,2,1948,"2_122_12",1,26989500,325174.698795181,0.0447084433412947,0.0458354198493496,0.00187929155642297,0.216702585024866,4.61461961741368,611.098065808166,0.00513571588749073
"8","Radio_S",8454436.42842823,41777251.0036056,0.00379759185618603,503340.373537417,0.00379834752922587,41777251.0036056,0.00379759185618603,503340.373537417,0.00379834752922587,TRUE,-0.0431849048028026,0.252874435177123,0.00423305728103939,140.637621728557,12602058141.348,0.784858327555337,16056034913.1787,1e-04,12,122,1,2,1948,"2_122_12",1,196277706,2364791.63855422,0.32513646780638,0.327402613792851,0.000668295646470325,0.212847662910864,4.69819581913277,1580.37995685521,0.00181237415472424
"9","chicken",22684768.7871852,941143458.521908,0.0855508356276744,11339077.813517,0.0855678591685044,941143458.521908,0.0855508356276744,11339077.813517,0.0855678591685044,TRUE,-0.0431849048028026,0.252874435177123,0.00423305728103939,140.637621728557,12602058141.348,0.784858327555337,16056034913.1787,1e-04,12,122,1,2,1948,"2_122_12",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","(Intercept)",115756670.250426,9607803630.78537,0.873358489311711,115756670.250426,0.873523095513864,9607803630.78537,0.873358489311711,115756670.250426,0.873523095513864,TRUE,-0.0480119922364841,0.253458817772018,0.0041920609990914,141.821186423193,13308729308.8257,0.828875536379527,16056034913.1787,1e-04,15,37,1,5,591,"5_37_15",1,NA,NA,NA,NA,NA,NA,NA,NA,NA
