"","ds","dep_var","trend","season","holiday","cag_V","Influencer_S","Social_Media_S","Radio_S","chicken","intercept","depVarHat","solID"
"1","2019-10-13",15703190.71,1321143.31435815,-476253.566816163,-372300.683301378,7335542.56559262,1.89762795929643,6.00598064294791,370.933757729427,7734841.59258016,109789974.949989,15543352.0597797,"2_122_12"
"2","2019-10-20",16903252.55,1327766.02275001,-1525228.3946844,0,7124484.84967031,37.6471877926625,18.1849531467936,1097.47466029692,10128065.7690129,109789974.949989,17056241.5535501,"2_122_12"
"3","2019-10-27",17041206.68,1334388.73114187,-1723708.87801541,0,7196553.08064657,132.013288764395,42.7317979474116,2119.87903023405,10135256.8903917,109789974.949989,16944784.4482817,"2_122_12"
"4","2019-11-03",44838814.19,1341011.44110879,-1583226.63417492,0,7266047.95181332,33939.2988922462,58.8895761232058,2607.1975666756,10175493.4987243,109789974.949989,17235931.6435066,"2_122_12"
"5","2019-11-10",34654156.8,1347634.15107572,-1616419.91958034,-575914.102527697,7420480.42687843,189715.186232368,64.8962410338466,2619.46268863065,10213694.2800737,109789974.949989,16981874.3810818,"2_122_12"
"6","2019-11-17",36825456.94,1354256.8578078,-1881456.67288906,0,7628964.01082887,323346.571545709,38.0977328190243,2619.46288812002,10227729.8398317,109789974.949989,17655498.1677459,"2_122_12"
"7","2019-11-24",39523546.72,1360879.56453987,-2106836.59216766,43628.0082438319,7544026.14954306,363034.279609233,424.486004503438,2619.46288812002,10227773.8143565,109789974.949989,17435549.1730174,"2_122_12"
"8","2019-12-01",58638124.42,1367502.27127195,-2114606.49776741,0,7621242.90185053,371244.106554766,1480.73711363627,2619.46288812002,10209945.321458,109789974.949989,17459428.3033696,"2_122_12"
"9","2019-12-08",34595451,1374124.9775465,-1993924.88597913,0,7585208.14289375,376636.259629551,3496.30490781419,2619.46288812002,10192972.8000378,109789974.949989,17541133.0619244,"2_122_12"
"10","2019-12-15",38934322.21,1380747.68382105,-1894278.1067775,0,9052316.39862482,379632.838854345,3292.5261002172,2619.46288812002,10186725.464337,109789974.949989,19111056.2678481,"2_122_12"
"11","2019-12-22",45290872.74,1387370.39009561,-1801314.99604091,-240412.284373895,9160419.64594531,379580.105610133,1818.15713140347,2619.46288812002,10186705.8812936,109789974.949989,19076786.3625494,"2_122_12"
