"","ds","Influencer_S","Social_Media_S","Radio_S","chicken","type","solID"
"1","2019-10-06",90003.23,30000,693000,2.93,"rawMedia","2_122_12"
"2","2019-10-13",90003.23,30000,693000,2.93,"rawMedia","2_122_12"
"3","2019-10-20",339515.58,30000,693000,2.93,"rawMedia","2_122_12"
"4","2019-10-27",370265.58,35000,693000,2.93,"rawMedia","2_122_12"
"5","2019-11-03",3872465.58,35000,693000,2.948,"rawMedia","2_122_12"
"6","2019-11-10",4517212.35,35000,693000,2.948,"rawMedia","2_122_12"
"7","2019-11-17",4572212.35,5000,693000,2.948,"rawMedia","2_122_12"
"8","2019-11-24",4622212.35,2e+05,693000,2.948,"rawMedia","2_122_12"
"9","2019-12-01",4622212.35,2e+05,693000,2.94,"rawMedia","2_122_12"
"10","2019-12-08",4655412.35,2e+05,693000,2.94,"rawMedia","2_122_12"
"11","2019-12-15",4655412.35,15000,693000,2.94,"rawMedia","2_122_12"
"12","2019-12-22",4645412.35,15000,693000,2.94,"rawMedia","2_122_12"
"13","2019-12-29",4571012.35,2e+05,693000,2.94,"rawMedia","2_122_12"
"14","2020-01-05",5040559.92,2e+05,693000,3.113,"rawMedia","2_122_12"
"15","2020-01-12",1031847.57,12500,693000,3.113,"rawMedia","2_122_12"
"16","2020-01-19",1216447.57,12500,693000,3.113,"rawMedia","2_122_12"
"17","2020-01-26",1238447.57,12500,693000,3.113,"rawMedia","2_122_12"
"18","2020-02-02",1238447.57,12500,693000,3.059,"rawMedia","2_122_12"
"19","2020-02-09",1235977.57,15000,693000,3.059,"rawMedia","2_122_12"
"20","2020-02-16",381000,15000,693000,3.059,"rawMedia","2_122_12"
"21","2020-02-23",341000,15000,693000,3.059,"rawMedia","2_122_12"
"22","2020-03-01",275638.66,40000,693000,3.013,"rawMedia","2_122_12"
"23","2020-03-08",375735.12,25000,693000,3.013,"rawMedia","2_122_12"
"24","2020-03-15",315735.12,25000,693000,3.013,"rawMedia","2_122_12"
"25","2020-03-22",246335.12,25000,693000,3.013,"rawMedia","2_122_12"
"26","2020-03-29",206000,25000,693000,3.013,"rawMedia","2_122_12"
"27","2020-04-05",206000,15000,693000,2.956,"rawMedia","2_122_12"
"28","2020-04-12",35000,2e+05,693000,2.956,"rawMedia","2_122_12"
"29","2020-04-19",35000,2e+05,693000,2.956,"rawMedia","2_122_12"
"30","2020-04-26",35000,2e+05,693000,2.956,"rawMedia","2_122_12"
"31","2020-05-03",472500,2e+05,693000,3.158,"rawMedia","2_122_12"
"32","2020-05-10",472500,2e+05,693000,3.158,"rawMedia","2_122_12"
"33","2020-05-17",472500,2e+05,693000,3.158,"rawMedia","2_122_12"
"34","2020-05-24",472500,2e+05,14593572,3.158,"rawMedia","2_122_12"
"35","2020-05-31",2992500,2e+05,14593572,3.158,"rawMedia","2_122_12"
"36","2020-06-07",2992500,5000,14593572,3.348,"rawMedia","2_122_12"
"37","2020-06-14",2992500,25000,14593572,3.348,"rawMedia","2_122_12"
"38","2020-06-21",3045294.65,25000,14638572,3.348,"rawMedia","2_122_12"
"39","2020-06-28",2607794.65,25000,14638572,3.348,"rawMedia","2_122_12"
"40","2020-07-05",10339724.99,97500,14638572,3.349,"rawMedia","2_122_12"
"41","2020-07-12",13694724.99,102500,14638572,3.349,"rawMedia","2_122_12"
"42","2020-07-19",13697724.99,117500,14697234,3.349,"rawMedia","2_122_12"
"43","2020-07-26",18195430.34,432500,14697234,3.349,"rawMedia","2_122_12"
"44","2020-08-02",18875430.34,795000,58662,3.221,"rawMedia","2_122_12"
"45","2020-08-09",18863500,805000,693000,3.221,"rawMedia","2_122_12"
"46","2020-08-16",18868500,817500,693000,3.221,"rawMedia","2_122_12"
"47","2020-08-23",18865500,802500,693000,3.221,"rawMedia","2_122_12"
"48","2020-08-30",18865500,427500,693000,3.221,"rawMedia","2_122_12"
"49","2020-09-06",20386569.66,427500,693000,3.276,"rawMedia","2_122_12"
"50","2020-09-13",20344069.66,102500,693000,3.276,"rawMedia","2_122_12"
"51","2020-09-20",20349069.66,157000,693000,3.276,"rawMedia","2_122_12"
"52","2020-09-27",20349069.66,157000,693000,3.276,"rawMedia","2_122_12"
"53","2020-10-04",21049399.2,204000,693000,3.276,"rawMedia","2_122_12"
"54","2020-10-11",13176399.2,114000,693000,3.302,"rawMedia","2_122_12"
"55","2020-10-18",2936399.2,99000,693000,3.302,"rawMedia","2_122_12"
"56","2020-10-25",773399.2,99000,693000,3.302,"rawMedia","2_122_12"
"57","2020-11-01",773399.2,99000,693000,3.29,"rawMedia","2_122_12"
"58","2020-11-08",70000,35000,693000,3.29,"rawMedia","2_122_12"
"59","2020-11-15",160000,35000,693000,3.29,"rawMedia","2_122_12"
"60","2020-11-22",160000,2e+05,693000,3.29,"rawMedia","2_122_12"
"61","2020-11-29",160000,1053000,693000,3.29,"rawMedia","2_122_12"
"62","2020-12-06",194000,1053000,693000,3.412,"rawMedia","2_122_12"
"63","2020-12-13",159000,1053000,693000,3.412,"rawMedia","2_122_12"
"64","2020-12-20",159000,1053000,693000,3.412,"rawMedia","2_122_12"
"65","2020-12-27",159000,1053000,693000,3.412,"rawMedia","2_122_12"
"66","2021-01-03",4382765.2,1413000,693000,3.293,"rawMedia","2_122_12"
"67","2021-01-10",4347765.2,1360000,693000,3.293,"rawMedia","2_122_12"
"68","2021-01-17",4484565.2,1495000,693000,3.293,"rawMedia","2_122_12"
"69","2021-01-24",4450565.2,1045000,693000,3.293,"rawMedia","2_122_12"
"70","2021-01-31",4485565.2,1045000,693000,3.293,"rawMedia","2_122_12"
"71","2021-02-07",4485565.2,1045000,693000,3.26,"rawMedia","2_122_12"
"72","2021-02-14",3608000.2,1045000,693000,3.26,"rawMedia","2_122_12"
