banner_I,blog_I,coupon_I,email_I,social_I,display_I,post_I,circular_I,retailer_I,banner_S,blog_S,coupon_S,email_S,social_S,display_S,post_S,circular_S,retailer_S,DATE,revenue
62836886.0,11405123.0,183809663.0,89808870.8888889,5945479.0,12600000.0,960311131.0,1202640.0,129381124.0,247331.83,90003.23,447628.45,379813.80027777783,30000.0,0.0,108489.42,26955.29,277200.0,2019-10-05,89774827.92
120592917.0,11405123.0,183809663.0,89808870.8888889,5945479.0,12600000.0,1499677155.0,1202640.0,134474110.0,442966.83,90003.23,447628.45,379813.80027777783,30000.0,0.0,657371.26,26955.29,757298.59,2019-10-12,111919125.1
181801495.0,54811539.0,205679120.0,89808870.8888889,14945163.0,12600000.0,1652077155.0,1202640.0,134474110.0,648786.4,339515.58,558250.87,379813.80027777783,82633.08,0.0,664560.05,26955.29,757298.59,2019-10-19,110607594.5
206085547.0,59584985.0,214955960.0,456667.0,17167385.0,12600000.0,1658077155.0,1202640.0,134555822.0,721169.03,370265.58,553719.14,14500.0,94919.86,0.0,705420.97,26955.29,765393.59,2019-10-26,108674181.9
886963849.0,505839713.0,833886179.0,16856395.0,17167385.0,12600000.0,3142603166.0,35202640.0,180113316.0,4247910.47,3872465.58,3023477.68,894500.0,94919.86,0.0,2683025.76,26955.29,2587006.6,2019-11-02,359516408.6
847858815.0,571056542.0,650226824.0,29656395.0,8167701.0,2045858988.767983,1707103166.0,35000000.0,46708892.0,4199107.15,4517212.35,2595977.68,894500.0,42286.78,379813.80027777783,2295084.81,8000.0,1902854.6,2019-11-09,290501832.3
835814129.0,577619165.0,651147309.0,29656395.0,2222222.0,62440000.0,1671663888.0,34000000.0,45705142.0,4172618.89,4572212.35,2604232.76,894500.0,12286.78,1263.9,2246199.05,0.0,1835138.73,2019-11-16,307294453.8
971915574.0,587035706.0,643986779.0,30755062.0,41556248.0,62440000.0,2194606982.0,34000000.0,125639206.0,4479393.49,4622212.35,2604409.71,924500.14,197149.6,1263.9,2793359.79,0.0,2629708.01,2019-11-23,350852271.1
971915574.0,587035706.0,643986779.0,30755062.0,41556248.0,62440000.0,2194606982.0,34000000.0,125639206.0,4479393.49,4622212.35,2604409.71,924500.14,197149.6,1263.9,2793359.79,0.0,2629708.01,2019-11-30,484910484.0
971915574.0,593914691.0,643986779.0,30755062.0,41556248.0,62440000.0,2208000941.0,34000000.0,125996218.0,4479393.49,4655412.35,2604409.71,924500.14,197149.6,1263.9,2844502.33,0.0,2650557.96,2019-12-07,293759476.5
971044426.0,593914691.0,653057268.0,30755062.0,45476040.0,62440000.0,2202000941.0,34000000.0,133294218.0,4477685.34,4655412.35,2611006.76,924500.14,219862.82,1263.9,2803641.41,0.0,2695509.46,2019-12-14,329400435.9
973227720.0,592261088.0,653895333.0,30755062.0,45476040.0,62440000.0,2202000941.0,34000000.0,133294218.0,4485732.66,4645412.35,2629919.44,924500.14,219862.82,1263.9,2803641.41,0.0,2695509.46,2019-12-21,396109460.2
941263568.0,579858607.0,653895333.0,30298395.0,43778470.0,62440000.0,2136750941.0,34000000.0,125914506.0,4385583.76,4571012.35,2629919.44,910000.14,204862.82,1263.9,2801452.62,0.0,2642462.96,2019-12-28,542231939.3
1250778317.0,765971312.0,644167614.0,37048395.0,41556248.0,71440000.0,3720572533.0,44000000.0,316733464.0,5837291.91,5040559.92,2622692.39,1315000.14,197149.6,1263.9,3340568.67,15000.0,3264628.59,2020-01-04,587748545.4
559131085.0,334391815.0,40183052.0,9919802.0,1402444.0,71440000.0,2521804380.0,10000000.0,675897835.0,2234990.32,1031847.57,264283.65,484599.92,12500.0,1263.9,754746.59,15000.0,2392538.25,2020-01-11,228689679.9
608249983.0,359787836.0,46198455.0,9919802.0,1402444.0,71440000.0,2583496392.0,10000000.0,805991925.0,2474637.37,1216447.57,292725.29,484599.92,12500.0,1263.9,808789.05,15000.0,3809849.36,2020-01-18,236255040.4
595459100.0,361867680.0,45360390.0,9919802.0,1402444.0,71440000.0,2583496392.0,10000000.0,833850189.0,2433340.05,1238447.57,273812.61,484599.92,12500.0,1263.9,808789.05,15000.0,4026337.36,2020-01-25,227015404.3
609431652.0,361867680.0,45857389.0,10157135.0,1402444.0,71440000.0,2610918620.0,10000000.0,840310658.0,2507299.09,1238447.57,300026.68,494599.92,12500.0,1263.9,897935.8,15000.0,4119132.88,2020-02-01,236663669.6
603950722.0,366640989.0,47179643.0,8067960.0,1504626.0,265000000.0,1225510000000.0,266000000.0,38039655486.0,2471953.69,1235977.57,292984.39,439999.93,15000.0,0.0,872946.97,15000.0,3930496.61,2020-02-08,1559306280.0
194548843.0,60376324.0,87179643.0,8376776.0,1504626.0,265000000.0,1223690000000.0,257000000.0,37733530026.0,790771.45,381000.0,604152.55,194999.93,15000.0,0.0,670705.48,15000.0,2554067.82,2020-02-15,1270023037.0
169775380.0,56464034.0,87530462.0,8376776.0,1504626.0,256000000.0,1223640000000.0,257000000.0,37558255026.0,615771.45,341000.0,619152.55,194999.93,15000.0,0.0,666807.02,15000.0,2157572.82,2020-02-22,1212545371.0
170194391.0,51492975.0,86279291.0,8376776.0,5432354.0,256000000.0,1223660000000.0,257000000.0,37417214738.0,606832.11,275638.66,609753.34,194999.93,40000.0,0.0,686166.68,15000.0,652799.11,2020-02-29,1285519742.0
261701025.0,37834990.0,74158501.0,7058816.0,3927728.0,256000000.0,1223630000000.0,257000000.0,37393729979.0,985640.05,375735.12,517646.68,160000.0,25000.0,0.0,718115.58,0.0,560486.5,2020-03-07,1509523237.0
171902250.0,21294848.0,21941516.0,89808870.8888889,3927728.0,256000000.0,1223110000000.0,257000000.0,37233529958.0,686421.01,315735.12,130779.82,379813.80027777783,25000.0,0.0,215088.91,0.0,136611.87,2020-03-14,1590402671.0
152516138.0,10595182.0,5567532.0,89808870.8888889,3927728.0,256000000.0,1223020000000.0,257000000.0,37233648668.0,630321.01,246335.12,53779.82,379813.80027777783,25000.0,0.0,210088.91,0.0,146842.42,2020-03-21,3203060583.0
121481346.0,5860503.0,5100714.0,89808870.8888889,3927728.0,256000000.0,1222990000000.0,257000000.0,37231404702.0,511705.5,206000.0,22565.75,379813.80027777783,25000.0,0.0,162924.82,0.0,125399.96,2020-03-28,2098484692.0
111956340.0,5860503.0,89808870.8888889,89808870.8888889,1727728.0,256000000.0,1222960000000.0,257000000.0,37231138928.0,468667.94,206000.0,379813.80027777783,379813.80027777783,15000.0,0.0,127958.7,0.0,105981.1,2020-04-04,1661971779.0
11423224.0,3848503.0,89808870.8888889,89808870.8888889,89808870.8888889,256000000.0,1222960000000.0,257000000.0,37224718713.0,85660.06,35000.0,379813.80027777783,379813.80027777783,762687.0638605291,0.0,127958.7,0.0,30194.6,2020-04-11,1727257487.0
11423224.0,3848503.0,89808870.8888889,89808870.8888889,89808870.8888889,256000000.0,1222960000000.0,257000000.0,37224718713.0,85660.06,35000.0,379813.80027777783,379813.80027777783,614514.4880150524,0.0,127958.7,0.0,30194.6,2020-04-18,1556590438.0
11423224.0,3848503.0,89808870.8888889,89808870.8888889,89808870.8888889,256000000.0,1222960000000.0,257000000.0,37224718713.0,85660.06,35000.0,379813.80027777783,379813.80027777783,1925488.3127993937,0.0,127958.7,0.0,30194.6,2020-04-25,1515912793.0
1138523324.0,57773903.0,89808870.8888889,31356850.0,89808870.8888889,281000000.0,1223120000000.0,663875000.0,37254859863.0,6535660.06,472500.0,379813.80027777783,375000.0,499787.194984633,0.0,893342.2,625000.0,755194.6,2020-05-02,1573277381.0
1138523324.0,57773903.0,89808870.8888889,31356850.0,89808870.8888889,281000000.0,1223120000000.0,663875000.0,37254859863.0,6535660.06,472500.0,769511.8445968647,375000.0,1138497.739332064,0.0,893342.2,625000.0,755194.6,2020-05-09,1675247329.0
1138523324.0,57773903.0,89808870.8888889,31356850.0,196230745.01361126,25000000.0,209434378.0,407875000.0,32459863.0,6535660.06,472500.0,379813.80027777783,375000.0,968137.330901783,0.0,893342.2,625000.0,755194.6,2020-05-16,147657207.4
2448133045.0,57773903.0,848573033.0,31356850.0,89808870.8888889,12030000000.0,209434378.0,407875000.0,50216371.0,14620660.06,472500.0,12314557.5,375000.0,379813.80027777783,21070000.0,893342.2,625000.0,935494.6,2020-05-23,1290124935.0
2448133045.0,384498887.0,848573033.0,31356850.0,89808870.8888889,12030000000.0,209434378.0,407875000.0,122015023.0,14620660.06,2992500.0,12314557.5,375000.0,379813.80027777783,21070000.0,893342.2,625000.0,1745494.6,2020-05-30,1312376299.0
2448543045.0,384498887.0,848573033.0,31356850.0,4964080.0,12030000000.0,209434378.0,424650000.0,122015023.0,14630649.06,2992500.0,12314557.5,375000.0,5000.0,21070000.0,893342.2,650000.0,1745494.6,2020-06-06,1316554838.0
2466996993.0,384498887.0,848573033.0,32455674.0,8519635.0,12030000000.0,242034378.0,424650000.0,129711527.0,14690649.06,2992500.0,12314557.5,401000.0,37000.0,21070000.0,953342.2,650000.0,1791494.6,2020-06-13,1368979915.0
2542729024.0,394982306.0,856784075.0,36390213.0,8519635.0,12030000000.0,253004109.0,424650000.0,198518033.0,14983023.2,3045294.65,12387557.5,511000.0,37000.0,21070000.0,1004415.78,650000.0,2252465.99,2020-06-20,1349694355.0
2535979740.0,341056906.0,856784075.0,36390213.0,8519635.0,12006000000.0,58313071.0,41775000.0,179561522.0,14932363.14,2607794.65,12387557.5,511000.0,37000.0,21070000.0,152023.22,25000.0,2052201.94,2020-06-27,1159665238.0
7964664957.0,1230103004.0,856784075.0,402104389.0,18087289.0,12006000000.0,85136071.0,297775000.0,1647950977.0,48809583.14,10339724.99,12387557.5,4363800.0,109500.0,21070000.0,163862.77,25000.0,20132680.57,2020-07-04,2261312683.0
8296720432.0,1682764650.0,871116053.0,401317565.0,18893273.0,12006000000.0,54136071.0,297775000.0,1659443971.0,50439583.14,13694724.99,16843003.0,4350300.0,114500.0,21070000.0,139862.77,25000.0,20184643.12,2020-07-11,2157036104.0
8363673450.0,1683022636.0,873260867.0,405857561.0,34085386.0,12005000000.0,141972829.0,297775000.0,1681943971.0,50689583.14,13697724.99,16894708.0,4471800.0,251000.0,21070000.0,177902.77,25000.0,20424277.12,2020-07-18,2132976406.0
11128395966.0,2388251654.0,2330862650.0,405857561.0,72614557.0,12005000000.0,139795483.0,297775000.0,2189586075.0,66594985.0,18195430.34,27716208.0,4471800.0,566000.0,21070000.0,152464.19,25000.0,27553926.62,2020-07-25,3684777253.0
