banner_I,blog_I,coupon_I,social_I,banner_S,blog_S,coupon_S,social_S,DATE,revenue
62836886.0,11405123.0,183809663.0,5945479.0,247331.83,90003.23,447628.45,30000.0,2019-10-05,89774827.92
120592917.0,11405123.0,183809663.0,5945479.0,442966.83,90003.23,447628.45,30000.0,2019-10-12,111919125.1
181801495.0,54811539.0,205679120.0,14945163.0,648786.4,339515.58,558250.87,82633.08,2019-10-19,110607594.5
206085547.0,59584985.0,214955960.0,17167385.0,721169.03,370265.58,553719.14,94919.86,2019-10-26,108674181.9
886963849.0,505839713.0,833886179.0,17167385.0,4247910.47,3872465.58,3023477.68,94919.86,2019-11-02,359516408.6
847858815.0,571056542.0,650226824.0,8167701.0,4199107.15,4517212.35,2595977.68,42286.78,2019-11-09,290501832.3
835814129.0,577619165.0,651147309.0,2222222.0,4172618.89,4572212.35,2604232.76,12286.78,2019-11-16,307294453.8
971915574.0,587035706.0,643986779.0,41556248.0,4479393.49,4622212.35,2604409.71,197149.6,2019-11-23,350852271.1
971915574.0,587035706.0,643986779.0,41556248.0,4479393.49,4622212.35,2604409.71,197149.6,2019-11-30,484910484.0
971915574.0,593914691.0,643986779.0,41556248.0,4479393.49,4655412.35,2604409.71,197149.6,2019-12-07,293759476.5
971044426.0,593914691.0,653057268.0,45476040.0,4477685.34,4655412.35,2611006.76,219862.82,2019-12-14,329400435.9
973227720.0,592261088.0,653895333.0,45476040.0,4485732.66,4645412.35,2629919.44,219862.82,2019-12-21,396109460.2
941263568.0,579858607.0,653895333.0,43778470.0,4385583.76,4571012.35,2629919.44,204862.82,2019-12-28,542231939.3
1250778317.0,765971312.0,644167614.0,41556248.0,5837291.91,5040559.92,2622692.39,197149.6,2020-01-04,587748545.4
559131085.0,334391815.0,40183052.0,1402444.0,2234990.32,1031847.57,264283.65,12500.0,2020-01-11,228689679.9
608249983.0,359787836.0,46198455.0,1402444.0,2474637.37,1216447.57,292725.29,12500.0,2020-01-18,236255040.4
595459100.0,361867680.0,45360390.0,1402444.0,2433340.05,1238447.57,273812.61,12500.0,2020-01-25,227015404.3
609431652.0,361867680.0,45857389.0,1402444.0,2507299.09,1238447.57,300026.68,12500.0,2020-02-01,236663669.6
603950722.0,366640989.0,47179643.0,1504626.0,2471953.69,1235977.57,292984.39,15000.0,2020-02-08,1559306280.0
194548843.0,60376324.0,87179643.0,1504626.0,790771.45,381000.0,604152.55,15000.0,2020-02-15,1270023037.0
169775380.0,56464034.0,87530462.0,1504626.0,615771.45,341000.0,619152.55,15000.0,2020-02-22,1212545371.0
170194391.0,51492975.0,86279291.0,5432354.0,606832.11,275638.66,609753.34,40000.0,2020-02-29,1285519742.0
261701025.0,37834990.0,74158501.0,3927728.0,985640.05,375735.12,517646.68,25000.0,2020-03-07,1509523237.0
171902250.0,21294848.0,21941516.0,3927728.0,686421.01,315735.12,130779.82,25000.0,2020-03-14,1590402671.0
152516138.0,10595182.0,5567532.0,3927728.0,630321.01,246335.12,53779.82,25000.0,2020-03-21,3203060583.0
121481346.0,5860503.0,5100714.0,3927728.0,511705.5,206000.0,22565.75,25000.0,2020-03-28,2098484692.0
111956340.0,5860503.0,89808870.8888889,1727728.0,468667.94,206000.0,379813.80027777783,15000.0,2020-04-04,1661971779.0
11423224.0,3848503.0,89808870.8888889,89808870.8888889,85660.06,35000.0,379813.80027777783,762687.0638605291,2020-04-11,1727257487.0
11423224.0,3848503.0,89808870.8888889,89808870.8888889,85660.06,35000.0,379813.80027777783,614514.4880150524,2020-04-18,1556590438.0
11423224.0,3848503.0,89808870.8888889,89808870.8888889,85660.06,35000.0,379813.80027777783,1925488.3127993937,2020-04-25,1515912793.0
1138523324.0,57773903.0,89808870.8888889,89808870.8888889,6535660.06,472500.0,379813.80027777783,499787.194984633,2020-05-02,1573277381.0
1138523324.0,57773903.0,89808870.8888889,89808870.8888889,6535660.06,472500.0,769511.8445968647,1138497.739332064,2020-05-09,1675247329.0
1138523324.0,57773903.0,89808870.8888889,196230745.01361126,6535660.06,472500.0,379813.80027777783,968137.330901783,2020-05-16,147657207.4
2448133045.0,57773903.0,848573033.0,89808870.8888889,14620660.06,472500.0,12314557.5,379813.80027777783,2020-05-23,1290124935.0
2448133045.0,384498887.0,848573033.0,89808870.8888889,14620660.06,2992500.0,12314557.5,379813.80027777783,2020-05-30,1312376299.0
2448543045.0,384498887.0,848573033.0,4964080.0,14630649.06,2992500.0,12314557.5,5000.0,2020-06-06,1316554838.0
2466996993.0,384498887.0,848573033.0,8519635.0,14690649.06,2992500.0,12314557.5,37000.0,2020-06-13,1368979915.0
2542729024.0,394982306.0,856784075.0,8519635.0,14983023.2,3045294.65,12387557.5,37000.0,2020-06-20,1349694355.0
2535979740.0,341056906.0,856784075.0,8519635.0,14932363.14,2607794.65,12387557.5,37000.0,2020-06-27,1159665238.0
7964664957.0,1230103004.0,856784075.0,18087289.0,48809583.14,10339724.99,12387557.5,109500.0,2020-07-04,2261312683.0
8296720432.0,1682764650.0,871116053.0,18893273.0,50439583.14,13694724.99,16843003.0,114500.0,2020-07-11,2157036104.0
8363673450.0,1683022636.0,873260867.0,34085386.0,50689583.14,13697724.99,16894708.0,251000.0,2020-07-18,2132976406.0
11128395966.0,2388251654.0,2330862650.0,72614557.0,66594985.0,18195430.34,27716208.0,566000.0,2020-07-25,3684777253.0
10230343273.0,2489286119.0,1482289617.0,161491019.0,59794685.0,18875430.34,15401650.5,1304350.0,2020-08-01,2728649449.0
10169378223.0,2488683293.0,1483191334.0,148882778.0,59534897.5,18863500.0,15431650.5,1192850.0,2020-08-08,2930930275.0
9064058271.0,2489140796.0,1483191334.0,150302778.0,53154397.5,18868500.0,15431650.5,1205350.0,2020-08-15,2844913228.0
9678458810.0,2488882810.0,1483191334.0,257227966.0,54734397.5,18865500.0,15431650.5,2335366.0,2020-08-22,2965624887.0
9524949785.0,2488882810.0,1483191334.0,207955341.0,54099697.5,18865500.0,15431650.5,1960366.0,2020-08-29,2904827687.0
9711758921.0,2684824518.0,1486072228.0,207955341.0,54751697.5,20386569.66,15994575.8,1960366.0,2020-09-05,3110125148.0
9511269271.0,2676921099.0,1468162897.0,162698882.0,54415332.5,20344069.66,15724870.8,1635366.0,2020-09-12,2982914657.0
8895256125.0,2677343099.0,1468270236.0,59934320.0,52813832.5,20349069.66,15750392.9,544850.0,2020-09-19,3005595303.0
8919542770.0,2677343099.0,1468270236.0,59934320.0,52875791.99,20349069.66,15750392.9,544850.0,2020-09-26,2893747493.0
9344890994.0,2801695847.0,1468369676.0,110810817.0,56133491.99,21049399.2,15774412.18,770533.44,2020-10-03,3174008923.0
6050049615.0,1640412090.0,2361783.0,98359273.0,38008879.49,13176399.2,552466.6752,655183.44,2020-10-10,1500179512.0
632787957.0,425243834.0,3535046.0,97167536.0,4215159.49,2936399.2,567466.6752,640183.44,2020-10-17,525769061.5
518028247.0,137068383.0,1661622.0,56665386.0,3648659.49,773399.2,103226.6752,277683.44,2020-10-24,423708878.6
489067662.0,137068383.0,3923158.0,56665386.0,3551700.0,773399.2,143445.2752,277683.44,2020-10-31,431264454.5
61714984.0,5502800.0,3817682.0,45193836.0,411802.8,70000.0,107223.89,340197.26,2020-11-07,198203116.4
193438602.0,25771171.0,3817682.0,71430732.0,1077053.24,160000.0,107223.89,704245.94,2020-11-14,216334711.1
324817656.0,25771171.0,16689922.0,94671275.0,1401464.44,160000.0,144953.64,1075156.3,2020-11-21,271878635.5
463428867.0,25771171.0,21872630.0,222990539.0,1876464.44,160000.0,179953.64,2128156.3,2020-11-28,330764740.1
490423170.0,29776293.0,22607030.0,227616070.0,1982914.44,194000.0,194203.64,2174406.3,2020-12-05,240155668.0
484277984.0,28121996.0,22505727.0,227616070.0,1962914.44,159000.0,180883.65,2174406.3,2020-12-12,274287007.8
484277984.0,28121996.0,22505727.0,227616070.0,1962914.44,159000.0,180883.65,2174406.3,2020-12-19,284714249.3
476738732.0,28121996.0,19070928.0,227616070.0,1922914.44,159000.0,125665.05,2174406.3,2020-12-26,344994869.2
1293527900.0,785164498.0,306565552.0,272676070.0,7795523.48,4382765.2,2448830.83,2534406.3,2021-01-02,1535435886.0
1928972436.0,781315995.0,300744124.0,434089100.0,9329790.28,4347765.2,2443781.91,2879545.15,2021-01-09,1558946568.0
2028919210.0,794761139.0,300744124.0,418293065.0,9667107.48,4484565.2,2443781.91,2709347.89,2021-01-16,1685056299.0
2022702902.0,790756017.0,300744124.0,357707801.0,9647107.48,4450565.2,2443781.91,2259347.89,2021-01-23,1584208909.0
2038079351.0,794724907.0,300744124.0,357707801.0,9755107.48,4485565.2,2443781.91,2259347.89,2021-01-30,1601128655.0
1736814736.0,794724907.0,287590304.0,357707801.0,9070107.48,4485565.2,2367366.86,2259347.89,2021-02-06,1526861522.0
1488324307.0,614409226.0,282077980.0,357707801.0,7979117.48,3608000.2,2316638.86,2259347.89,2021-02-13,1591530836.0
817327337.0,525830070.0,23199768.0,332210000.0,3198000.0,2805000.2,819775.74,2124347.89,2021-02-20,1272727596.0
166163706.0,525830070.0,24522486.0,126211848.0,1088000.0,2805000.2,863275.74,930000.0,2021-02-27,1237666981.0
189110677.0,122235013.0,5396400.0,54359689.0,1173000.0,1110000.2,120837.96,325000.0,2021-03-06,973238852.0
65652798.0,5916615.0,5396400.0,54359689.0,298000.0,45000.0,120837.96,325000.0,2021-03-13,1522506287.0
65652798.0,2421731.0,3995680.0,54359689.0,298000.0,20000.0,59201.08,325000.0,2021-03-20,1559002535.0
59407683.0,2421731.0,3995680.0,52107841.0,278000.0,20000.0,59201.08,305000.0,2021-03-27,1447996939.0
121513867.0,89808870.8888889,7695819.0,18027841.0,808776.0,541547.6463806023,150808.3,160000.0,2021-04-03,919696656.8
