coupon_I,email_I,social_I,display_I,post_I,circular_I,coupon_S,email_S,social_S,display_S,post_S,circular_S,DATE,revenue
183809663.0,89808870.8888889,5945479.0,12600000.0,960311131.0,1202640.0,447628.45,379813.80027777783,30000.0,0.0,108489.42,26955.29,2019-10-05,89774827.92
183809663.0,89808870.8888889,5945479.0,12600000.0,1499677155.0,1202640.0,447628.45,379813.80027777783,30000.0,0.0,657371.26,26955.29,2019-10-12,111919125.1
205679120.0,89808870.8888889,14945163.0,12600000.0,1652077155.0,1202640.0,558250.87,379813.80027777783,82633.08,0.0,664560.05,26955.29,2019-10-19,110607594.5
214955960.0,456667.0,17167385.0,12600000.0,1658077155.0,1202640.0,553719.14,14500.0,94919.86,0.0,705420.97,26955.29,2019-10-26,108674181.9
833886179.0,16856395.0,17167385.0,12600000.0,3142603166.0,35202640.0,3023477.68,894500.0,94919.86,0.0,2683025.76,26955.29,2019-11-02,359516408.6
650226824.0,29656395.0,8167701.0,2045858988.767983,1707103166.0,35000000.0,2595977.68,894500.0,42286.78,379813.80027777783,2295084.81,8000.0,2019-11-09,290501832.3
651147309.0,29656395.0,2222222.0,62440000.0,1671663888.0,34000000.0,2604232.76,894500.0,12286.78,1263.9,2246199.05,0.0,2019-11-16,307294453.8
643986779.0,30755062.0,41556248.0,62440000.0,2194606982.0,34000000.0,2604409.71,924500.14,197149.6,1263.9,2793359.79,0.0,2019-11-23,350852271.1
643986779.0,30755062.0,41556248.0,62440000.0,2194606982.0,34000000.0,2604409.71,924500.14,197149.6,1263.9,2793359.79,0.0,2019-11-30,484910484.0
643986779.0,30755062.0,41556248.0,62440000.0,2208000941.0,34000000.0,2604409.71,924500.14,197149.6,1263.9,2844502.33,0.0,2019-12-07,293759476.5
653057268.0,30755062.0,45476040.0,62440000.0,2202000941.0,34000000.0,2611006.76,924500.14,219862.82,1263.9,2803641.41,0.0,2019-12-14,329400435.9
653895333.0,30755062.0,45476040.0,62440000.0,2202000941.0,34000000.0,2629919.44,924500.14,219862.82,1263.9,2803641.41,0.0,2019-12-21,396109460.2
653895333.0,30298395.0,43778470.0,62440000.0,2136750941.0,34000000.0,2629919.44,910000.14,204862.82,1263.9,2801452.62,0.0,2019-12-28,542231939.3
644167614.0,37048395.0,41556248.0,71440000.0,3720572533.0,44000000.0,2622692.39,1315000.14,197149.6,1263.9,3340568.67,15000.0,2020-01-04,587748545.4
40183052.0,9919802.0,1402444.0,71440000.0,2521804380.0,10000000.0,264283.65,484599.92,12500.0,1263.9,754746.59,15000.0,2020-01-11,228689679.9
46198455.0,9919802.0,1402444.0,71440000.0,2583496392.0,10000000.0,292725.29,484599.92,12500.0,1263.9,808789.05,15000.0,2020-01-18,236255040.4
45360390.0,9919802.0,1402444.0,71440000.0,2583496392.0,10000000.0,273812.61,484599.92,12500.0,1263.9,808789.05,15000.0,2020-01-25,227015404.3
45857389.0,10157135.0,1402444.0,71440000.0,2610918620.0,10000000.0,300026.68,494599.92,12500.0,1263.9,897935.8,15000.0,2020-02-01,236663669.6
47179643.0,8067960.0,1504626.0,265000000.0,1225510000000.0,266000000.0,292984.39,439999.93,15000.0,0.0,872946.97,15000.0,2020-02-08,1559306280.0
87179643.0,8376776.0,1504626.0,265000000.0,1223690000000.0,257000000.0,604152.55,194999.93,15000.0,0.0,670705.48,15000.0,2020-02-15,1270023037.0
87530462.0,8376776.0,1504626.0,256000000.0,1223640000000.0,257000000.0,619152.55,194999.93,15000.0,0.0,666807.02,15000.0,2020-02-22,1212545371.0
86279291.0,8376776.0,5432354.0,256000000.0,1223660000000.0,257000000.0,609753.34,194999.93,40000.0,0.0,686166.68,15000.0,2020-02-29,1285519742.0
74158501.0,7058816.0,3927728.0,256000000.0,1223630000000.0,257000000.0,517646.68,160000.0,25000.0,0.0,718115.58,0.0,2020-03-07,1509523237.0
21941516.0,89808870.8888889,3927728.0,256000000.0,1223110000000.0,257000000.0,130779.82,379813.80027777783,25000.0,0.0,215088.91,0.0,2020-03-14,1590402671.0
5567532.0,89808870.8888889,3927728.0,256000000.0,1223020000000.0,257000000.0,53779.82,379813.80027777783,25000.0,0.0,210088.91,0.0,2020-03-21,3203060583.0
5100714.0,89808870.8888889,3927728.0,256000000.0,1222990000000.0,257000000.0,22565.75,379813.80027777783,25000.0,0.0,162924.82,0.0,2020-03-28,2098484692.0
89808870.8888889,89808870.8888889,1727728.0,256000000.0,1222960000000.0,257000000.0,379813.80027777783,379813.80027777783,15000.0,0.0,127958.7,0.0,2020-04-04,1661971779.0
89808870.8888889,89808870.8888889,89808870.8888889,256000000.0,1222960000000.0,257000000.0,379813.80027777783,379813.80027777783,762687.0638605291,0.0,127958.7,0.0,2020-04-11,1727257487.0
89808870.8888889,89808870.8888889,89808870.8888889,256000000.0,1222960000000.0,257000000.0,379813.80027777783,379813.80027777783,614514.4880150524,0.0,127958.7,0.0,2020-04-18,1556590438.0
89808870.8888889,89808870.8888889,89808870.8888889,256000000.0,1222960000000.0,257000000.0,379813.80027777783,379813.80027777783,1925488.3127993937,0.0,127958.7,0.0,2020-04-25,1515912793.0
89808870.8888889,31356850.0,89808870.8888889,281000000.0,1223120000000.0,663875000.0,379813.80027777783,375000.0,499787.194984633,0.0,893342.2,625000.0,2020-05-02,1573277381.0
89808870.8888889,31356850.0,89808870.8888889,281000000.0,1223120000000.0,663875000.0,769511.8445968647,375000.0,1138497.739332064,0.0,893342.2,625000.0,2020-05-09,1675247329.0
89808870.8888889,31356850.0,196230745.01361126,25000000.0,209434378.0,407875000.0,379813.80027777783,375000.0,968137.330901783,0.0,893342.2,625000.0,2020-05-16,147657207.4
848573033.0,31356850.0,89808870.8888889,12030000000.0,209434378.0,407875000.0,12314557.5,375000.0,379813.80027777783,21070000.0,893342.2,625000.0,2020-05-23,1290124935.0
848573033.0,31356850.0,89808870.8888889,12030000000.0,209434378.0,407875000.0,12314557.5,375000.0,379813.80027777783,21070000.0,893342.2,625000.0,2020-05-30,1312376299.0
848573033.0,31356850.0,4964080.0,12030000000.0,209434378.0,424650000.0,12314557.5,375000.0,5000.0,21070000.0,893342.2,650000.0,2020-06-06,1316554838.0
848573033.0,32455674.0,8519635.0,12030000000.0,242034378.0,424650000.0,12314557.5,401000.0,37000.0,21070000.0,953342.2,650000.0,2020-06-13,1368979915.0
856784075.0,36390213.0,8519635.0,12030000000.0,253004109.0,424650000.0,12387557.5,511000.0,37000.0,21070000.0,1004415.78,650000.0,2020-06-20,1349694355.0
856784075.0,36390213.0,8519635.0,12006000000.0,58313071.0,41775000.0,12387557.5,511000.0,37000.0,21070000.0,152023.22,25000.0,2020-06-27,1159665238.0
856784075.0,402104389.0,18087289.0,12006000000.0,85136071.0,297775000.0,12387557.5,4363800.0,109500.0,21070000.0,163862.77,25000.0,2020-07-04,2261312683.0
871116053.0,401317565.0,18893273.0,12006000000.0,54136071.0,297775000.0,16843003.0,4350300.0,114500.0,21070000.0,139862.77,25000.0,2020-07-11,2157036104.0
873260867.0,405857561.0,34085386.0,12005000000.0,141972829.0,297775000.0,16894708.0,4471800.0,251000.0,21070000.0,177902.77,25000.0,2020-07-18,2132976406.0
2330862650.0,405857561.0,72614557.0,12005000000.0,139795483.0,297775000.0,27716208.0,4471800.0,566000.0,21070000.0,152464.19,25000.0,2020-07-25,3684777253.0
1482289617.0,415863339.0,161491019.0,4977696830.222222,211855483.0,729775000.0,15401650.5,4619300.0,1304350.0,5436584.56,1170464.19,9086380.0,2020-08-01,2728649449.0
1483191334.0,412037629.0,148882778.0,4977696830.222222,190932483.0,729775000.0,15431650.5,4507800.0,1192850.0,5436584.56,1167124.64,9086380.0,2020-08-08,2930930275.0
1483191334.0,383220779.0,150302778.0,1104501802.7324271,192147134.0,704775000.0,15431650.5,4159800.0,1205350.0,1685170.6130733858,1207155.84,9086380.0,2020-08-15,2844913228.0
1483191334.0,449756528.0,257227966.0,2592000000.0,188430376.0,704775000.0,15431650.5,5172300.0,2335366.0,4050000.0,1179155.84,9086380.0,2020-08-22,2965624887.0
1483191334.0,449756528.0,207955341.0,2592000000.0,188430376.0,704775000.0,15431650.5,5172300.0,1960366.0,4050000.0,1179155.84,9086380.0,2020-08-29,2904827687.0
1486072228.0,449756528.0,207955341.0,2596000000.0,240120357.0,704775000.0,15994575.8,5172300.0,1960366.0,4050000.0,1219824.68,9086380.0,2020-09-05,3110125148.0
