banner_I,blog_I,coupon_I,email_I,social_I,post_I,circular_I,banner_S,blog_S,coupon_S,email_S,social_S,post_S,circular_S,revenue,DATE
62836886.0,11405123.0,183809663.0,15000.0,5945479.0,960311131.0,1202640.0,247331.83,90003.23,447628.45,64000.0,30000.0,108489.42,26955.29,89774827.92,2019-10-05
120592917.0,11405123.0,183809663.0,15000.0,5945479.0,1499677155.0,1202640.0,442966.83,90003.23,447628.45,64000.0,30000.0,657371.26,26955.29,111919125.1,2019-10-12
181801495.0,54811539.0,205679120.0,15000.0,14945163.0,1652077155.0,1202640.0,648786.4,339515.58,558250.87,64000.0,82633.08,664560.05,26955.29,110607594.5,2019-10-19
206085547.0,59584985.0,214955960.0,456667.0,17167385.0,1658077155.0,1202640.0,721169.03,370265.58,553719.14,14500.0,94919.86,705420.97,26955.29,108674181.9,2019-10-26
886963849.0,505839713.0,833886179.0,16856395.0,17167385.0,3142603166.0,35202640.0,4247910.47,3872465.58,3023477.68,894500.0,94919.86,2683025.76,26955.29,359516408.6,2019-11-02
847858815.0,571056542.0,650226824.0,29656395.0,8167701.0,1707103166.0,35000000.0,4199107.15,4517212.35,2595977.68,894500.0,42286.78,2295084.81,8000.0,290501832.3,2019-11-09
835814129.0,577619165.0,651147309.0,29656395.0,2222222.0,1671663888.0,34000000.0,4172618.89,4572212.35,2604232.76,894500.0,12286.78,2246199.05,0.0,307294453.8,2019-11-16
971915574.0,587035706.0,643986779.0,30755062.0,41556248.0,2194606982.0,34000000.0,4479393.49,4622212.35,2604409.71,924500.14,197149.6,2793359.79,0.0,350852271.1,2019-11-23
971915574.0,587035706.0,643986779.0,30755062.0,41556248.0,2194606982.0,34000000.0,4479393.49,4622212.35,2604409.71,924500.14,197149.6,2793359.79,0.0,484910484.0,2019-11-30
971915574.0,593914691.0,643986779.0,30755062.0,41556248.0,2208000941.0,34000000.0,4479393.49,4655412.35,2604409.71,924500.14,197149.6,2844502.33,0.0,293759476.5,2019-12-07
971044426.0,593914691.0,653057268.0,30755062.0,45476040.0,2202000941.0,34000000.0,4477685.34,4655412.35,2611006.76,924500.14,219862.82,2803641.41,0.0,329400435.9,2019-12-14
973227720.0,592261088.0,653895333.0,30755062.0,45476040.0,2202000941.0,34000000.0,4485732.66,4645412.35,2629919.44,924500.14,219862.82,2803641.41,0.0,396109460.2,2019-12-21
941263568.0,579858607.0,653895333.0,30298395.0,43778470.0,2136750941.0,34000000.0,4385583.76,4571012.35,2629919.44,910000.14,204862.82,2801452.62,0.0,542231939.3,2019-12-28
1250778317.0,765971312.0,644167614.0,37048395.0,41556248.0,3720572533.0,44000000.0,5837291.91,5040559.92,2622692.39,1315000.14,197149.6,3340568.67,15000.0,587748545.4,2020-01-04
559131085.0,334391815.0,40183052.0,9919802.0,1402444.0,2521804380.0,10000000.0,2234990.32,1031847.57,264283.65,484599.92,12500.0,754746.59,15000.0,228689679.9,2020-01-11
608249983.0,359787836.0,46198455.0,9919802.0,1402444.0,2583496392.0,10000000.0,2474637.37,1216447.57,292725.29,484599.92,12500.0,808789.05,15000.0,236255040.4,2020-01-18
595459100.0,361867680.0,45360390.0,9919802.0,1402444.0,2583496392.0,10000000.0,2433340.05,1238447.57,273812.61,484599.92,12500.0,808789.05,15000.0,227015404.3,2020-01-25
609431652.0,361867680.0,45857389.0,10157135.0,1402444.0,2610918620.0,10000000.0,2507299.09,1238447.57,300026.68,494599.92,12500.0,897935.8,15000.0,236663669.6,2020-02-01
603950722.0,366640989.0,47179643.0,8067960.0,1504626.0,1225510000000.0,266000000.0,2471953.69,1235977.57,292984.39,439999.93,15000.0,872946.97,15000.0,1559306280.0,2020-02-08
194548843.0,60376324.0,87179643.0,8376776.0,1504626.0,1223690000000.0,257000000.0,790771.45,381000.0,604152.55,194999.93,15000.0,670705.48,15000.0,1270023037.0,2020-02-15
169775380.0,56464034.0,87530462.0,8376776.0,1504626.0,1223640000000.0,257000000.0,615771.45,341000.0,619152.55,194999.93,15000.0,666807.02,15000.0,1212545371.0,2020-02-22
170194391.0,51492975.0,86279291.0,8376776.0,5432354.0,1223660000000.0,257000000.0,606832.11,275638.66,609753.34,194999.93,40000.0,686166.68,15000.0,1285519742.0,2020-02-29
261701025.0,37834990.0,74158501.0,7058816.0,3927728.0,1223630000000.0,257000000.0,985640.05,375735.12,517646.68,160000.0,25000.0,718115.58,0.0,1509523237.0,2020-03-07
171902250.0,21294848.0,21941516.0,15000.0,3927728.0,1223110000000.0,257000000.0,686421.01,315735.12,130779.82,64000.0,25000.0,215088.91,0.0,1590402671.0,2020-03-14
152516138.0,10595182.0,5567532.0,15000.0,3927728.0,1223020000000.0,257000000.0,630321.01,246335.12,53779.82,15000.0,25000.0,210088.91,0.0,3203060583.0,2020-03-21
121481346.0,5860503.0,5100714.0,15000.0,3927728.0,1222990000000.0,257000000.0,511705.5,206000.0,22565.75,40634.27666440506,25000.0,162924.82,0.0,2098484692.0,2020-03-28
111956340.0,5860503.0,64000.0,15000.0,1727728.0,1222960000000.0,257000000.0,468667.94,206000.0,15000.0,64000.0,15000.0,127958.7,0.0,1661971779.0,2020-04-04
11423224.0,3848503.0,15000.0,15000.0,64000.0,1222960000000.0,257000000.0,85660.06,35000.0,15000.0,64000.0,64000.0,127958.7,0.0,1727257487.0,2020-04-11
11423224.0,3848503.0,15000.0,15000.0,15000.0,1222960000000.0,257000000.0,85660.06,35000.0,15000.0,64000.0,64000.0,127958.7,0.0,1556590438.0,2020-04-18
11423224.0,3848503.0,15000.0,15000.0,15000.0,1222960000000.0,257000000.0,85660.06,35000.0,15000.0,64000.0,64000.0,127958.7,0.0,1515912793.0,2020-04-25
1138523324.0,57773903.0,64000.0,31356850.0,15000.0,1223120000000.0,663875000.0,6535660.06,472500.0,64000.0,375000.0,15000.0,893342.2,625000.0,1573277381.0,2020-05-02
1138523324.0,57773903.0,64000.0,31356850.0,15000.0,1223120000000.0,663875000.0,6535660.06,472500.0,64000.0,375000.0,15000.0,893342.2,625000.0,1675247329.0,2020-05-09
1138523324.0,57773903.0,64000.0,31356850.0,64000.0,209434378.0,407875000.0,6535660.06,472500.0,64000.0,375000.0,15000.0,893342.2,625000.0,147657207.4,2020-05-16
2448133045.0,57773903.0,848573033.0,31356850.0,64000.0,209434378.0,407875000.0,14620660.06,472500.0,12314557.5,375000.0,15000.0,893342.2,625000.0,1290124935.0,2020-05-23
2448133045.0,384498887.0,848573033.0,31356850.0,64000.0,209434378.0,407875000.0,14620660.06,2992500.0,12314557.5,375000.0,15000.0,893342.2,625000.0,1312376299.0,2020-05-30
2448543045.0,384498887.0,848573033.0,31356850.0,4964080.0,209434378.0,424650000.0,14630649.06,2992500.0,12314557.5,375000.0,5000.0,893342.2,650000.0,1316554838.0,2020-06-06
2466996993.0,384498887.0,848573033.0,32455674.0,8519635.0,242034378.0,424650000.0,14690649.06,2992500.0,12314557.5,401000.0,37000.0,953342.2,650000.0,1368979915.0,2020-06-13
2542729024.0,394982306.0,856784075.0,36390213.0,8519635.0,253004109.0,424650000.0,14983023.2,3045294.65,12387557.5,511000.0,37000.0,1004415.78,650000.0,1349694355.0,2020-06-20
2535979740.0,341056906.0,856784075.0,36390213.0,8519635.0,58313071.0,41775000.0,14932363.14,2607794.65,12387557.5,511000.0,37000.0,152023.22,25000.0,1159665238.0,2020-06-27
7964664957.0,1230103004.0,856784075.0,402104389.0,18087289.0,85136071.0,297775000.0,48809583.14,10339724.99,12387557.5,4363800.0,109500.0,163862.77,25000.0,2261312683.0,2020-07-04
