client_name,brand_name,week,campaign_type,primary_search_strategy,spend,impressions,clicks,attributed_sales,sales
KIND,KIND,1/31/2021,sponsoredBrands,Branded,6658.83,306608,2448,19079.06,890866.78
KIND,KIND,1/31/2021,sponsoredBrands,Category,2228.18,207500,254,1269.88,890866.78
KIND,KIND,1/31/2021,sponsoredBrands,Competitive,0,0,0,0,890866.78
KIND,KIND,1/31/2021,sponsoredBrands,Uncategorized,0,0,0,0,890866.78
KIND,KIND,1/31/2021,sponsoredBrandsVideo,Branded,0,0,0,0,890866.78
KIND,KIND,1/31/2021,sponsoredBrandsVideo,Category,0,0,0,0,890866.78
KIND,KIND,1/31/2021,sponsoredBrandsVideo,Competitive,0,0,0,0,890866.78
KIND,KIND,1/31/2021,sponsoredProducts,Auto,6772.84,4071173,3006,11918.84,890866.78
KIND,KIND,1/31/2021,sponsoredProducts,Branded,11297.69,1082415,4638,33642.9,890866.78
KIND,KIND,1/31/2021,sponsoredProducts,Category,6688.09,1191497,2529,7523.96,890866.78
KIND,KIND,1/31/2021,sponsoredProducts,Competitive,66.4,27877,60,294.02,890866.78
KIND,KIND,11/22/2020,sponsoredBrands,Branded,1921.19,140083,866,5836.04,806647.49
KIND,KIND,11/22/2020,sponsoredBrands,Category,11340.6,2025909,1556,2808.37,806647.49
KIND,KIND,11/22/2020,sponsoredBrands,Competitive,0,0,0,0,806647.49
KIND,KIND,11/22/2020,sponsoredBrands,Uncategorized,0,0,0,0,806647.49
KIND,KIND,11/22/2020,sponsoredBrandsVideo,Branded,0,0,0,0,806647.49
KIND,KIND,11/22/2020,sponsoredBrandsVideo,Category,0,0,0,0,806647.49
KIND,KIND,11/22/2020,sponsoredBrandsVideo,Competitive,0,0,0,0,806647.49
KIND,KIND,11/22/2020,sponsoredProducts,Auto,2123.59,1844472,937,3754.39,806647.49
KIND,KIND,11/22/2020,sponsoredProducts,Branded,9078.53,1550696,3359,24465.19,806647.49
KIND,KIND,11/22/2020,sponsoredProducts,Category,12020.86,2432221,2806,10423.62,806647.49
KIND,KIND,11/22/2020,sponsoredProducts,Competitive,43.64,34370,35,59.4,806647.49
KIND,KIND,1/6/2019,sponsoredBrands,Branded,6743.75,240642,1914,18342.39,774379.54
KIND,KIND,1/6/2019,sponsoredBrands,Category,5909.11,676157,1764,3328.87,774379.54
KIND,KIND,1/6/2019,sponsoredBrands,Competitive,1233.18,260373,406,925.18,774379.54
KIND,KIND,1/6/2019,sponsoredBrands,Uncategorized,1.4,2636,7,0,774379.54
KIND,KIND,1/6/2019,sponsoredProducts,Auto,4771.2,1091667,1880,5136.48,774379.54
KIND,KIND,1/6/2019,sponsoredProducts,Branded,30331.07,1845292,9397,91536.08,774379.54
KIND,KIND,1/6/2019,sponsoredProducts,Category,41222.95,3873732,8499,37033.57,774379.54
KIND,KIND,1/6/2019,sponsoredProducts,Competitive,6313.44,1590525,1276,3441.87,774379.54
KIND,KIND,12/26/2021,sponsoredBrands,Branded,447.7,19226,166,1629.06,1143033.53
KIND,KIND,12/26/2021,sponsoredBrands,Category,505.97,97620,149,409.02,1143033.53
